[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] Swarm MPCIE (MPCIE) Bootloader
[2022-08-28 09:09:26.393] Copyright (c) 2019-22 Swarm Technologies, Inc
[2022-08-28 09:09:26.393] Version: 2022-05-16T21:46:13,v2.0.0
[2022-08-28 09:09:26.493] ......
[2022-08-28 09:09:29.497] Checking image MD5 in STM32 flash... valid
[2022-08-28 09:09:29.635] Identifying SPI flash... FOUND (Mfr 0x9d ISSI Type 0x6017)
[2022-08-28 09:09:29.635] Checking image MD5 in SPI flash... INVALID
[2022-08-28 09:09:29.635] Transferring control to application...
[2022-08-28 09:09:29.635] 
[2022-08-28 09:09:30.526] $M138 BOOT,POWERON,Swarm M138 (M138)*44
[2022-08-28 09:09:30.526] $M138 BOOT,POWERON,Copyright (c) 2019-22 Swarm Technologies, Inc*2d
[2022-08-28 09:09:30.526] $M138 BOOT,POWERON,LPWR=n,WWDG=n,IWDG=n,SFT=n,BOR=Y,PIN=Y,OBL=n*43
[2022-08-28 09:09:30.526] $M138 BOOT,VERSION,2022-05-16T21:45:08,v2.0.2*2f
[2022-08-28 09:09:39.983] $M138 BOOT,DEVICEID,DI=0x003431*29
[2022-08-28 09:09:39.983] $M138 BOOT,RUNNING*2a
[2022-08-28 09:09:41.153] $RT RSSI=-113*1e
[2022-08-28 09:09:42.153] $RT RSSI=-113*1e
[2022-08-28 09:09:43.153] $RT RSSI=-112*1f
[2022-08-28 09:09:44.154] $RT RSSI=-112*1f
[2022-08-28 09:09:45.153] $RT RSSI=-113*1e
[2022-08-28 09:09:46.153] $RT RSSI=-112*1f
[2022-08-28 09:09:47.153] $RT RSSI=-112*1f
[2022-08-28 09:09:48.411] $RT RSSI=-113*1e
[2022-08-28 09:09:49.154] $RT RSSI=-112*1f
[2022-08-28 09:09:50.153] $RT RSSI=-112*1f
[2022-08-28 09:09:51.154] $RT RSSI=-113*1e
[2022-08-28 09:09:52.153] $RT RSSI=-112*1f
[2022-08-28 09:09:53.153] $RT RSSI=-112*1f
[2022-08-28 09:09:54.153] $RT RSSI=-113*1e
[2022-08-28 09:09:55.153] $RT RSSI=-113*1e
[2022-08-28 09:09:56.154] $RT RSSI=-113*1e
[2022-08-28 09:09:57.153] $RT RSSI=-112*1f
[2022-08-28 09:09:58.153] $RT RSSI=-113*1e
[2022-08-28 09:09:59.153] $RT RSSI=-112*1f
[2022-08-28 09:10:00.154] $RT RSSI=-113*1e
[2022-08-28 09:10:01.154] $RT RSSI=-113*1e
[2022-08-28 09:10:02.153] $RT RSSI=-112*1f
[2022-08-28 09:10:03.154] $RT RSSI=-112*1f
[2022-08-28 09:10:04.153] $RT RSSI=-112*1f
[2022-08-28 09:10:04.665] $CS*10$RT RSSI=-113*1e
[2022-08-28 09:10:06.153] $RT RSSI=-113*1e
[2022-08-28 09:10:07.153] $RT RSSI=-112*1f
[2022-08-28 09:10:08.154] $RT RSSI=-112*1f
[2022-08-28 09:10:09.153] $RT RSSI=-113*1e
[2022-08-28 09:10:10.153] $RT RSSI=-113*1e
[2022-08-28 09:10:11.153] $RT RSSI=-112*1f
[2022-08-28 09:10:12.153] $RT RSSI=-113*1e
[2022-08-28 09:10:13.155] $RT RSSI=-112*1f
[2022-08-28 09:10:14.155] $RT RSSI=-112*1f
[2022-08-28 09:10:15.155] $RT RSSI=-112*1f
[2022-08-28 09:10:16.156] $RT RSSI=-112*1f
[2022-08-28 09:10:17.156] $RT RSSI=-113*1e
[2022-08-28 09:10:18.155] $RT RSSI=-112*1f
[2022-08-28 09:10:19.156] $RT RSSI=-113*1e
[2022-08-28 09:10:20.153] $RT RSSI=-112*1f
[2022-08-28 09:10:21.153] $RT RSSI=-113*1e
[2022-08-28 09:10:22.153] $RT RSSI=-112*1f
[2022-08-28 09:10:23.153] $RT RSSI=-113*1e
[2022-08-28 09:10:24.153] $RT RSSI=-112*1f
[2022-08-28 09:10:25.153] $RT RSSI=-113*1e
[2022-08-28 09:10:26.153] $RT RSSI=-113*1e
[2022-08-28 09:10:27.154] $RT RSSI=-113*1e
[2022-08-28 09:10:28.153] $RT RSSI=-113*1e
[2022-08-28 09:10:29.153] $RT RSSI=-113*1e
[2022-08-28 09:10:30.154] $RT RSSI=-113*1e
[2022-08-28 09:10:31.153] $RT RSSI=-112*1f
[2022-08-28 09:10:32.153] $RT RSSI=-112*1f
[2022-08-28 09:10:33.154] $RT RSSI=-112*1f
[2022-08-28 09:10:34.153] $RT RSSI=-112*1f
[2022-08-28 09:10:35.152] $RT RSSI=-113*1e
[2022-08-28 09:10:36.153] $RT RSSI=-113*1e
[2022-08-28 09:10:37.154] $RT RSSI=-112*1f
[2022-08-28 09:10:38.154] $RT RSSI=-112*1f
[2022-08-28 09:10:39.154] $RT RSSI=-112*1f
[2022-08-28 09:10:41.251] $RT RSSI=-112*1f
[2022-08-28 09:10:41.253] $CS*10
[2022-08-28 09:10:41.253] $RT RSSI=-113*1e
[2022-08-28 09:10:41.256] $CS DI=0x003431,DN=M138*21
[2022-08-28 09:10:42.153] $RT RSSI=-113*1e
[2022-08-28 09:10:43.153] $RT RSSI=-113*1e
[2022-08-28 09:10:44.153] $RT RSSI=-112*1f
[2022-08-28 09:10:45.153] $RT RSSI=-112*1f
[2022-08-28 09:10:46.152] $RT RSSI=-113*1e
[2022-08-28 09:10:47.153] $RT RSSI=-112*1f
[2022-08-28 09:10:48.153] $RT RSSI=-112*1f
[2022-08-28 09:10:49.153] $RT RSSI=-112*1f
[2022-08-28 09:10:50.152] $RT RSSI=-113*1e
[2022-08-28 09:10:51.153] $RT RSSI=-113*1e
[2022-08-28 09:10:52.153] $RT RSSI=-112*1f
[2022-08-28 09:10:53.153] $RT RSSI=-112*1f
[2022-08-28 09:10:54.153] $RT RSSI=-112*1f
[2022-08-28 09:10:55.153] $RT RSSI=-113*1e
[2022-08-28 09:10:56.153] $RT RSSI=-112*1f
[2022-08-28 09:10:57.153] $RT RSSI=-113*1e
[2022-08-28 09:10:58.153] $RT RSSI=-113*1e
[2022-08-28 09:10:59.153] $RT RSSI=-112*1f
[2022-08-28 09:11:00.153] $RT RSSI=-112*1f
[2022-08-28 09:11:01.153] $RT RSSI=-112*1f
[2022-08-28 09:11:02.153] $RT RSSI=-112*1f
[2022-08-28 09:11:03.153] $RT RSSI=-113*1e
[2022-08-28 09:11:04.153] $RT RSSI=-113*1e
[2022-08-28 09:11:05.152] $RT RSSI=-112*1f
[2022-08-28 09:11:06.153] $RT RSSI=-112*1f
[2022-08-28 09:11:07.153] $RT RSSI=-113*1e
[2022-08-28 09:11:08.152] $RT RSSI=-112*1f
[2022-08-28 09:11:09.153] $RT RSSI=-113*1e
[2022-08-28 09:11:10.153] $RT RSSI=-112*1f
[2022-08-28 09:11:11.153] $RT RSSI=-113*1e
[2022-08-28 09:11:12.153] $RT RSSI=-112*1f
[2022-08-28 09:11:13.154] $RT RSSI=-113*1e
[2022-08-28 09:11:14.152] $RT RSSI=-112*1f
[2022-08-28 09:11:15.152] $RT RSSI=-113*1e
[2022-08-28 09:11:16.153] $RT RSSI=-112*1f
[2022-08-28 09:11:17.152] $RT RSSI=-113*1e
[2022-08-28 09:11:18.152] $RT RSSI=-113*1e
[2022-08-28 09:11:19.153] $RT RSSI=-113*1e
[2022-08-28 09:11:20.154] $RT RSSI=-113*1e
[2022-08-28 09:11:22.045] $RT RSSI=-113*1e
[2022-08-28 09:11:22.047] $DT @*70
[2022-08-28 09:11:22.152] $RT RSSI=-112*1f
[2022-08-28 09:11:23.152] $RT RSSI=-112*1f
[2022-08-28 09:11:24.154] $RT RSSI=-113*1e
[2022-08-28 09:11:25.152] $RT RSSI=-113*1e
[2022-08-28 09:11:26.152] $RT RSSI=-112*1f
[2022-08-28 09:11:27.152] $RT RSSI=-112*1f
[2022-08-28 09:11:28.152] $RT RSSI=-113*1e
[2022-08-28 09:11:29.152] $RT RSSI=-112*1f
[2022-08-28 09:11:30.154] $RT RSSI=-112*1f
[2022-08-28 09:11:31.153] $RT RSSI=-112*1f
[2022-08-28 09:11:32.152] $RT RSSI=-112*1f
[2022-08-28 09:11:33.152] $RT RSSI=-112*1f
[2022-08-28 09:11:34.152] $RT RSSI=-113*1e
[2022-08-28 09:11:35.152] $RT RSSI=-112*1f
[2022-08-28 09:11:36.152] $RT RSSI=-112*1f
